id,q_id,text,wrong_type
1,1,The rules of the Ultimatum Game are strict.,
2,1,The results of the Ultimatum Game tend to be consistent.,
3,1,Responders reject offers that are less than 20 percent because they consider such offers unfair.,
4,1,Studies of the Ultimatum Game show sizable differences in the way some people play.,
5,2,in keeping with what rational analysis would dictate.,
6,2,"out of keeping with what rational analysis would dictate,",
7,2,in keeping with what one would expect from Homo emoticus.,
8,2,in keeping with what researchers would expect of the responses from people of non-Western cultures.,
9,3,lower percentage of fair offers than both typical Western societies and rational selfish players.,
10,3,"higher percentage of fair offers than both typical Western societies, and rational selfish players.",
11,3,"lower percentage of fair offers than typical Western societies, and a higher percentage of fair offers than rational selfish players.",
12,3,"higher percentage of fair offers than typical Western societies, and a lower percentage of fair offers than rational selfish players.",
13,4,The limited sample did not allow the experimenters to generalize about all people.,
14,4,Limiting the range of players allowed the experimenters to better control the outcome of the game.,
15,4,Limitations on the game led to mistaken conclusions by experimenters at that time.,
16,4,The limited sample allowed the experimenters to better control the range of variables in the experiment.,
17,5,improve the quality of their products.,
18,5,reduce the cost of wages and benefits.,
19,5,avoid seeming to be behind the times.,
20,5,increase the uniformity of procedures.,
21,6,are increasingly resistant to the regimentation of life.,
22,6,expect their needs to be met at the lowest possible cost.,
23,6,allow themselves to be treated as interchangeable.,
24,6,are unable to discriminate among products that differ in quality.,
25,7,planned tours to popular attractions with accommodations at large hotels.,
26,7,computerized systems to provide low-cost customized itineraries.,
27,7,personnel trained to make reservations but with little experience as travelers.,
28,7,procedures that encourage problem-solving initiatives by managers.,
29,8,"weakened, since the fast-food industry is not unique in suppressing creativity.",
30,8,"weakened, since the monotony of work is not necessarily related to employee dissatisfaction.",
31,8,"strengthened, since predictability and employee turnover are associated in another context.",
32,8,"strengthened, since low wages and job dissatisfaction are associated in another context.",
33,9,The true meaning of texts can never be decided.,
34,9,Most literary criticism is now deconstructionism.,
35,9,Deconstructionist and existentialist critics compete.,
36,9,The most salient issue for literary critics should be creative merit.,
37,10,the constant revisions typical of U.S. culture capture the spirit of deconstructionism.,
38,10,literature produced in the U.S. is especially suited to analysis by deconstruction.,
39,10,U.S. literary critics developed the scholarly methods adopted by deconstructionism.,
40,10,U.S. higher education is controlled by the political agenda of deconstructionism.,
41,11,To denounce its triviality in order to strengthen the case for a contrasting vision,
42,11,To acknowledge its existentialist principles in order to propose an extension of these principles,
43,11,To reveal its lack of sympathy for writers as an argument for a more courteous manner by critics,
44,11,To contrast its analytic method with an evaluative approach that may prove equally interesting,
45,12,enable people to make computers serve human purposes.,
46,12,increase the importance of information technology in the next decade.,
47,12,improve people’s ability to deal with issues of scale.,
48,12,help prove that the human mind is a computational object.,
49,13,Engineering students using calculators frequently make mistakes regarding orders of magnitude.,
50,13,Students who used calculators lost their ability to do “back of the envelope” calculations.,
51,13,A computer science major interpreted a Freudian slip as an information-processing error.,
52,13,Addressing the subjective side of computation is a significant challenge for the next decade of information technology in higher education.,
53,14,"After a power outage, a person creates a plan for coping with such events in the future.",
54,14,An analysis of the sequences of clicks emitted by dolphins reveals structural similarity to aspects of human language.,
55,14,A person gains a new appreciation for abstract painting after learning about a new theory of complementary colors.,
56,14,An office manager increases productivity by installing new accounting software on the company’s computers.,
57,15,Computational objects have an impact on students’ ideas about their emotional lives.,
58,15,"When students used slide rules, they had to insert decimal points themselves.",
59,15,Students who used calculators lost their ability to do “back of the envelope” calculations.,
60,15,"The invention of written language brought about a radical shift in how we process, organize, store, and transmit representations of the world.",
61,16,Urges,
62,16,Vetoes,
63,16,Vetoes of vetoes,
64,16,Imagining futures,
65,17,Psychology is well positioned to study emergent properties of the functioning of the brain.,
66,17,Supporters of pseudoscience tend to favor detailed explanations of free will.,
67,17,Free will is an emergent property that is decoupled from the standard macroscopic laws of causality.,
68,17,Emergent properties of molecules are just as easy to study as the properties of their individual atoms.,
69,18,A description of the phenomenon of happiness can only be given in terms of one level of analysis.,
70,18,A description of the phenomenon of happiness can be given without referring to emergent properties.,
71,18,A description of the phenomenon of happiness requires referring to technical aspects of quantum mechanics.,
72,18,A description of the phenomenon of happiness is more helpful in terms of psychology than in terms of physics.,
73,19,"Yes, because quantum fluctuations would have been clearly defined",
74,19,"Yes, because quantum fluctuations would be subject to standard laws of causality",
75,19,"No, because quantum fluctuations would still generate random will",
76,19,"No, because some scientists reject quantum mechanics",
77,20,Most products are designed to appeal to naïve and emotional consumers.,
78,20,Products are more likely to be purchased when they are advertised than when they are not.,
79,20,"If businesspeople manufactured only products that people need, there would be few products on the market.",
80,20,"If products were evaluated according to objective information about them, people would often not prefer one over the other.",
81,21,Neither are very thoughtful people.,
82,21,Neither have a strong moral commitment to truthfulness.,
83,21,"Both have biased views about their customers and constituents, respectively.",
84,21,"Both are more concerned about advertising themselves than their products, respectively.",
85,22,The politician made many contradictory statements during his or her campaign.,
86,22,Voter demographics for the second election were significantly different than for the first.,
87,22,Voters did not compare the politician’s behavior while in office with statements made during his or her campaign.,
88,22,There was no consensus among voters regarding the costs and benefits of a second term in office for that politician.,
89,23,II only,
90,23,III only,
